First_column,Second_column,Third_column,Fourth_column,Fifth_column,Sixth_column,Seventh_column,Eighth_column
d3,54,7449.990625,-0.000620450357757818,7449.990625,-0.000620450357757818,3468.8180683992805,-0.0006204459168657195
d0,15,7449.990625,-0.0006237215188775735,7449.990625,-0.0006237215188775735,3323.7011533248246,-0.0006237161898070553
d1,141,7449.990625,-0.0006131513075047224,7449.990625,-0.0006131513075047224,3371.177621491651,-0.0006131468666126239
dn,925,7449.990625,-0.000547379030990669,7449.990625,-0.000547379030990669,8488.970072787874,-0.0005473754782769902
do,11650,7449.990625,0.0003523696889828898,7449.990625,0.0003523696889828898,8617.00802906477,0.0003523741298749883
dl,2197,7449.990625,-0.00044066883475579743,7449.990625,-0.00044066883475579743,8237.588254827053,-0.00044066261750685953
dm,1903,7449.990625,-0.0004653326612924502,7449.990625,-0.0004653326612924502,8362.49674830319,-0.0004653264440435123
dj,514,7449.990625,-0.0005818598936002672,7449.990625,-0.0005818598936002672,7992.4633171243095,-0.0005818536763513293
dk,267,7449.990625,-0.0006025810961318712,7449.990625,-0.0006025810961318712,8114.244141227879,-0.0006025722143476742
dh,1570,7449.990625,-0.0004932685371272783,7449.990625,-0.0004932685371272783,7753.584049626793,-0.0004932640962351797
di,40780,7449.990625,0.002796164189078354,7449.990625,0.002796164189078354,7872.244064473983,0.002796173070862551
df,1367,7449.990625,-0.0005102993583250282,7449.990625,-0.0005102993583250282,7520.929396061134,-0.0005102895883624115
dg,2194,7449.990625,-0.00044091930107015287,7449.990625,-0.00044091930107015287,7636.480335816127,-0.00044091574835647407
dd,3498,7449.990625,-0.00033152325329410814,7449.990625,-0.00033152325329410814,7294.468859797073,-0.00033151881240200964
de,60139,7449.990625,0.004420243726599438,7449.990625,0.004420243726599438,7406.927126452885,0.0044202499438483756
db,732,7449.990625,-0.0005635705235818023,7449.990625,-0.0005635705235818023,7074.162934270499,-0.0005635669708681235
dc,1146,7449.990625,-0.0005288391946578486,7449.990625,-0.0005288391946578486,7183.5493795857365,-0.0005288329774089107
da,19186,7449.990625,0.0009845857462664753,7449.990625,0.0009845857462664753,6966.303251809796,0.0009845919635154132
dz,167,7449.990625,-0.0006109708294843585,7449.990625,-0.0006109708294843585,10127.95435683397,-0.0006109681649490994
dx,12,7449.990625,-0.0006239746497271881,7449.990625,-0.0006239746497271881,9839.39062440995,-0.0006239693206566699
dy,2741,7449.990625,-0.0003950306748379262,7449.990625,-0.0003950306748379262,9982.914036508877,-0.0003950280103026671
dv,1273,7449.990625,-0.0005181854945135456,7449.990625,-0.0005181854945135456,9556.925475192582,-0.0005181819417998668
dw,1198,7449.990625,-0.0005244764622602816,7449.990625,-0.0005244764622602816,9697.392041414829,-0.000524472021368183
dt,2054,7449.990625,-0.0004526645724922673,7449.990625,-0.0004526645724922673,9280.613503442404,-0.0004526592434217491
du,12237,7449.990625,0.00040161562964158293,7449.990625,0.00040161562964158293,9417.997384372455,0.00040161829417684203
dr,7563,7449.990625,9.50084455553224e-06,7449.990625,9.50084455553224e-06,9010.497722861992,9.50262091237164e-06
ds,9758,7449.990625,0.0001936442117767001,7449.990625,0.0001936442117767001,9144.778848360607,0.0001936513172040577
dp,590,7449.990625,-0.0005754845489036597,7449.990625,-0.0005754845489036597,8746.609756987793,-0.0005754765552978824
dq,167,7449.990625,-0.0006109708294843585,7449.990625,-0.0006109708294843585,8877.773725440615,-0.00061096638859226
dE,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,4527.347108161301,-0.0006249765149846098
dU,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,5788.147138084091,-0.000624972962270931
wspace,12144,7449.990625,0.00039381387040293703,7449.990625,0.00039381387040293703,2407.4990034465955,0.00039381742311661583
w-,296,7449.990625,-0.0006001483754403125,7449.990625,-0.0006001483754403125,2836.793599397833,-0.000600143934548214
w7,1,7449.990625,-0.0006248965789268368,7449.990625,-0.0006248965789268368,3245.487856485586,-0.0006248921380347383
w6,6,7449.990625,-0.0006244764705343187,7449.990625,-0.0006244764705343187,3201.149191981049,-0.0006244720296422201
w5,5,7449.990625,-0.0006245617356626099,7449.990625,-0.0006245617356626099,3157.6154725627443,-0.0006245572947705114
w4,3,7449.990625,-0.0006247278250270938,7449.990625,-0.0006247278250270938,3114.8737431322115,-0.000624724272313415
w3,9,7449.990625,-0.0006242251160415435,7449.990625,-0.0006242251160415435,3072.911161142188,-0.0006242171224357662
w2,9,7449.990625,-0.0006242251160415435,7449.990625,-0.0006242251160415435,3031.7150000983474,-0.0006242224515062844
w1,12,7449.990625,-0.0006239746497271881,7449.990625,-0.0006239746497271881,2991.272652832638,-0.0006239693206566699
w0,4,7449.990625,-0.0006246452244340617,7449.990625,-0.0006246452244340617,2951.571634553749,-0.0006246407835419632
